model	metric	value
output_EXP_2_elliot	nDCG	0.0035434615995057605
output_EXP_2_elliot	Recall	0.008239700374531835
output_EXP_2_elliot	Precision	0.000749063670411985
output_EXP_2_elliot	nDCGRendle2020	0.0035434615995057605
output_EXP_2_elliot	HR	0.00749063670411985
output_EXP_2_elliot	F1	0.0013571403898712156
output_EXP_2_elliot	MAP	0.0009034834960148905
output_EXP_2_elliot	MAR	0.005024968789013732
output_EXP_2_elliot	MRR	0.002256554307116105
output_EXP_2_elliot	ACLT	0.8134831460674158
output_EXP_2_elliot	APLT	0.04154598418643363
output_EXP_2_elliot	ARP	91.132619161945
output_EXP_2_elliot	PopREO	0.3632495164410058
output_EXP_2_elliot	PopRSP	0.6979241984784891
output_EXP_2_elliot	ItemCoverage	200.0
output_EXP_2_elliot	UserCoverage	1246.0
output_EXP_2_elliot	Gini	0.01289036794302123
output_EXP_2_elliot	SEntropy	2.0364745257945884
output_EXP_2_elliot	EFD	0.011282949031319838
output_EXP_2_elliot	EPC	0.001077300930700896
