model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	0.05953865202497019	0.09511089911757689	0.02863105175292154	0.06943493995419861	0.39621591541457984	0.04308367124073628	0.03635919041948247	0.05847610877034917	0.11558627234411696	19.709515859766277	0.9854757929883139	9.03881469115192	0.956818829048823	0.9612437750856765	876.0	1797.0	0.21435700344605613	8.712897701952544	0.40355761342307583	0.03255118436842797
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	0.08032046780003767	0.1238684845112224	0.03870339454646634	0.09258058112341694	0.4952698942682248	0.05775997830583226	0.04997133771179912	0.07736171838425594	0.15259903715120615	18.600445186421815	0.9300222593210907	11.034335002782415	0.8397695348160802	0.8167188827014866	1097.0	1797.0	0.3426383133760639	9.387158573274005	0.5358507577015582	0.04424549344421565
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	0.287991924876366	0.3164548939590676	0.11636060100166946	0.2718602982751224	0.8603227601558152	0.16717437829247533	0.17156796822353645	0.2076732495075567	0.4391817673420267	8.015025041736227	0.40075125208681134	69.6642181413467	0.10395146816668456	0.33442346466119527	1436.0	1797.0	0.41634755727599704	9.632510919392972	1.359867054032303	0.13422107568630123
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	0.2963635917899851	0.30984864544964713	0.11583194212576518	0.2701071093787322	0.865887590428492	0.16582380395775034	0.1724251444282734	0.2030509402796548	0.45056689949855544	2.756816917084029	0.13784084585420145	137.43689482470782	0.5903247811159468	0.7869246083541175	927.0	1797.0	0.16431569215624986	8.257776238996263	1.2429643346584187	0.13046057966063473
RP3beta_neighborhood=507_alpha=1$0180281935718316_beta=0$41875971052261285_normalize_similarity=True	0.3333693570198789	0.35298955048537684	0.13121869782971618	0.30931577992156434	0.9031719532554258	0.18813725203100634	0.19756306142279667	0.23329326434710407	0.499422429328245	2.52977184195882	0.12648859209794103	137.5506677796327	0.5421694314634762	0.8050559333852298	1024.0	1797.0	0.1740035221754419	8.351555835698495	1.4317698692375587	0.14953377450830638
RP3beta_neighborhood=698_alpha=1$254604326019227_beta=1$0823164137680943_normalize_similarity=False	0.11054584151270028	0.15274332882847075	0.051085141903171954	0.10811324202968335	0.6021146355036171	0.0749897182894207	0.05704903033198193	0.08832038185335347	0.16361679789490333	15.06455203116305	0.7532276015581526	19.909766277128547	0.48853211915999994	0.38959115587635634	1214.0	1797.0	0.3395840123091387	9.390541879042853	0.5911484011559663	0.05234268577422517
RP3beta_neighborhood=577_alpha=1$5238453912578895_beta=0$6782815049570574_normalize_similarity=False	0.20898115124973934	0.2339679889763362	0.08480801335559265	0.18471634934064804	0.7712854757929883	0.12219648702721023	0.11054760080350008	0.14345185096854549	0.3003529466894621	9.184752365052866	0.4592376182526433	56.88572621035058	0.11268004197920703	0.2244512933131748	1209.0	1797.0	0.3163896814892163	9.2916646400567	0.9145677953302659	0.09018985818059477
RP3beta_neighborhood=29_alpha=1$596217202535946_beta=0$2874229165090889_normalize_similarity=True	0.257821987718828	0.2503489060250329	0.09234835837506956	0.2243834926997519	0.8185865331107401	0.1325480686643344	0.14361822168286892	0.1689094809691638	0.410432129585569	6.357818586533111	0.3178909293266555	75.95400667779633	0.4092122938200847	0.48413655575192327	1004.0	1797.0	0.2584062932096505	9.025762460101916	1.063793517835264	0.10916660142478755
RP3beta_neighborhood=374_alpha=1$6894101723630552_beta=0$7718601223442862_normalize_similarity=True	0.21654387318922796	0.22964597079789065	0.08352810239287703	0.18760016095438078	0.7824151363383417	0.1203271912405409	0.11437435301808392	0.14420147997986063	0.32381027138278645	8.501391207568169	0.4250695603784085	66.1375347801892	0.19943913882207248	0.28914285939874623	1022.0	1797.0	0.2122251117954449	8.70181897921719	0.9077679189957034	0.09078913505771578
RP3beta_neighborhood=423_alpha=0$5092673133947772_beta=1$9655084320086946_normalize_similarity=False	0.05558371845888144	0.08654658116260787	0.025626043405676126	0.06621410598628082	0.36839176405119645	0.03867688964076497	0.03513147725090876	0.05519758459866974	0.11684992911572815	19.95214245965498	0.9976071229827489	8.252504173622704	0.9871697576701909	0.9935884980828216	782.0	1797.0	0.18226378477926586	8.486099392648889	0.38572540280800705	0.030754782545479687
