model	metric	value
EASER_neighborhood=1507_l2_norm=18374136$168271586	nDCG	0.2632045362336727
EASER_neighborhood=1507_l2_norm=18374136$168271586	Recall	0.2813401524586833
EASER_neighborhood=1507_l2_norm=18374136$168271586	Precision	0.10781858653311076
EASER_neighborhood=1507_l2_norm=18374136$168271586	nDCGRendle2020	0.25015101357623215
EASER_neighborhood=1507_l2_norm=18374136$168271586	HR	0.8347245409015025
EASER_neighborhood=1507_l2_norm=18374136$168271586	F1	0.15355252454605117
EASER_neighborhood=1507_l2_norm=18374136$168271586	MAP	0.1635890599917235
EASER_neighborhood=1507_l2_norm=18374136$168271586	MAR	0.18637324332441194
EASER_neighborhood=1507_l2_norm=18374136$168271586	MRR	0.42913534746310733
EASER_neighborhood=1507_l2_norm=18374136$168271586	ACLT	0.19365609348914858
EASER_neighborhood=1507_l2_norm=18374136$168271586	APLT	0.009682804674457429
EASER_neighborhood=1507_l2_norm=18374136$168271586	ARP	208.46647189760714
EASER_neighborhood=1507_l2_norm=18374136$168271586	PopREO	0.8958892232206668
EASER_neighborhood=1507_l2_norm=18374136$168271586	PopRSP	0.9855210215850956
EASER_neighborhood=1507_l2_norm=18374136$168271586	ItemCoverage	483.0
EASER_neighborhood=1507_l2_norm=18374136$168271586	UserCoverage	1797.0
EASER_neighborhood=1507_l2_norm=18374136$168271586	Gini	0.054826030694509975
EASER_neighborhood=1507_l2_norm=18374136$168271586	SEntropy	6.798563231940463
EASER_neighborhood=1507_l2_norm=18374136$168271586	EFD	1.0916294566507336
EASER_neighborhood=1507_l2_norm=18374136$168271586	EPC	0.11933468432849252
EASER_neighborhood=1507_l2_norm=28754079$46612463	nDCG	0.2632106904675903
EASER_neighborhood=1507_l2_norm=28754079$46612463	Recall	0.2813401524586833
EASER_neighborhood=1507_l2_norm=28754079$46612463	Precision	0.10781858653311076
EASER_neighborhood=1507_l2_norm=28754079$46612463	nDCGRendle2020	0.2501580197309197
EASER_neighborhood=1507_l2_norm=28754079$46612463	HR	0.8347245409015025
EASER_neighborhood=1507_l2_norm=28754079$46612463	F1	0.15355252454605117
EASER_neighborhood=1507_l2_norm=28754079$46612463	MAP	0.1635954152808417
EASER_neighborhood=1507_l2_norm=28754079$46612463	MAR	0.18638112683396488
EASER_neighborhood=1507_l2_norm=28754079$46612463	MRR	0.4291581126778592
EASER_neighborhood=1507_l2_norm=28754079$46612463	ACLT	0.19365609348914858
EASER_neighborhood=1507_l2_norm=28754079$46612463	APLT	0.009682804674457429
EASER_neighborhood=1507_l2_norm=28754079$46612463	ARP	208.46647189760714
EASER_neighborhood=1507_l2_norm=28754079$46612463	PopREO	0.8958892232206668
EASER_neighborhood=1507_l2_norm=28754079$46612463	PopRSP	0.9855210215850956
EASER_neighborhood=1507_l2_norm=28754079$46612463	ItemCoverage	483.0
EASER_neighborhood=1507_l2_norm=28754079$46612463	UserCoverage	1797.0
EASER_neighborhood=1507_l2_norm=28754079$46612463	Gini	0.054826030694509975
EASER_neighborhood=1507_l2_norm=28754079$46612463	SEntropy	6.798563231940463
EASER_neighborhood=1507_l2_norm=28754079$46612463	EFD	1.091648283545351
EASER_neighborhood=1507_l2_norm=28754079$46612463	EPC	0.1193369173909233
EASER_neighborhood=1507_l2_norm=22111700$89318527	nDCG	0.26320587617603763
EASER_neighborhood=1507_l2_norm=22111700$89318527	Recall	0.2813401524586833
EASER_neighborhood=1507_l2_norm=22111700$89318527	Precision	0.10781858653311076
EASER_neighborhood=1507_l2_norm=22111700$89318527	nDCGRendle2020	0.25015223577164714
EASER_neighborhood=1507_l2_norm=22111700$89318527	HR	0.8347245409015025
EASER_neighborhood=1507_l2_norm=22111700$89318527	F1	0.15355252454605117
EASER_neighborhood=1507_l2_norm=22111700$89318527	MAP	0.16358985045056904
EASER_neighborhood=1507_l2_norm=22111700$89318527	MAR	0.1863755620036922
EASER_neighborhood=1507_l2_norm=22111700$89318527	MRR	0.4291395632436169
EASER_neighborhood=1507_l2_norm=22111700$89318527	ACLT	0.19365609348914858
EASER_neighborhood=1507_l2_norm=22111700$89318527	APLT	0.009682804674457429
EASER_neighborhood=1507_l2_norm=22111700$89318527	ARP	208.46647189760714
EASER_neighborhood=1507_l2_norm=22111700$89318527	PopREO	0.8958892232206668
EASER_neighborhood=1507_l2_norm=22111700$89318527	PopRSP	0.9855210215850956
EASER_neighborhood=1507_l2_norm=22111700$89318527	ItemCoverage	483.0
EASER_neighborhood=1507_l2_norm=22111700$89318527	UserCoverage	1797.0
EASER_neighborhood=1507_l2_norm=22111700$89318527	Gini	0.054826030694509975
EASER_neighborhood=1507_l2_norm=22111700$89318527	SEntropy	6.798563231940463
EASER_neighborhood=1507_l2_norm=22111700$89318527	EFD	1.0916308069277105
EASER_neighborhood=1507_l2_norm=22111700$89318527	EPC	0.11933494125408212
EASER_neighborhood=1507_l2_norm=75298605$75037934	nDCG	0.26321124980796623
EASER_neighborhood=1507_l2_norm=75298605$75037934	Recall	0.2813401524586833
EASER_neighborhood=1507_l2_norm=75298605$75037934	Precision	0.10781858653311076
EASER_neighborhood=1507_l2_norm=75298605$75037934	nDCGRendle2020	0.2501587494539047
EASER_neighborhood=1507_l2_norm=75298605$75037934	HR	0.8347245409015025
EASER_neighborhood=1507_l2_norm=75298605$75037934	F1	0.15355252454605117
EASER_neighborhood=1507_l2_norm=75298605$75037934	MAP	0.1635974027202248
EASER_neighborhood=1507_l2_norm=75298605$75037934	MAR	0.18638390924910123
EASER_neighborhood=1507_l2_norm=75298605$75037934	MRR	0.4291581126778592
EASER_neighborhood=1507_l2_norm=75298605$75037934	ACLT	0.19365609348914858
EASER_neighborhood=1507_l2_norm=75298605$75037934	APLT	0.009682804674457429
EASER_neighborhood=1507_l2_norm=75298605$75037934	ARP	208.479020589872
EASER_neighborhood=1507_l2_norm=75298605$75037934	PopREO	0.8958892232206668
EASER_neighborhood=1507_l2_norm=75298605$75037934	PopRSP	0.9855210215850956
EASER_neighborhood=1507_l2_norm=75298605$75037934	ItemCoverage	482.0
EASER_neighborhood=1507_l2_norm=75298605$75037934	UserCoverage	1797.0
EASER_neighborhood=1507_l2_norm=75298605$75037934	Gini	0.05480700089643287
EASER_neighborhood=1507_l2_norm=75298605$75037934	SEntropy	6.7982221261803115
EASER_neighborhood=1507_l2_norm=75298605$75037934	EFD	1.0916515715941109
EASER_neighborhood=1507_l2_norm=75298605$75037934	EPC	0.11933728638516827
