model	metric	value
output_EXP_2_elliot	nDCG	0.12823036942254395
output_EXP_2_elliot	Recall	0.09503968253968254
output_EXP_2_elliot	Precision	0.07405882352941177
output_EXP_2_elliot	nDCGRendle2020	0.10749987362739004
output_EXP_2_elliot	HR	0.4652941176470588
output_EXP_2_elliot	F1	0.08166945583504498
output_EXP_2_elliot	MAP	0.10843027544351073
output_EXP_2_elliot	MAR	0.0653327030812325
output_EXP_2_elliot	MRR	0.26077240896358544
output_EXP_2_elliot	ACLT	0.045294117647058825
output_EXP_2_elliot	APLT	0.004661764705882352
output_EXP_2_elliot	ARP	266.5378860877684
output_EXP_2_elliot	PopREO	0.9494376635414713
output_EXP_2_elliot	PopRSP	0.9930788423702934
output_EXP_2_elliot	ItemCoverage	196.0
output_EXP_2_elliot	UserCoverage	1692.0
output_EXP_2_elliot	Gini	0.01993811678418911
output_EXP_2_elliot	SEntropy	5.352960885702749
output_EXP_2_elliot	EFD	0.7033328417488479
output_EXP_2_elliot	EPC	0.07820068582518963
