model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
output_EXP_1_elliot	0.29097479394353654	0.44120171673819747	0.042188841201716745	0.2612300942711944	0.5600858369098712	0.07668935962320042	0.06990316992653374	0.30124177396280405	0.2754116369494463	2.836909871244635	0.12085490162802663	86.44316843286062	0.3606149672168212	0.7204845426763751	746.0	460.0	0.12392767295019502	7.861494049443694	0.8326597327318825	0.08024405657148637
AttributeUserKNN_nn=100_sim=correlation_profile=binary_bin=False_load=ItemAttributes	0.12114007362799523	0.3831986531986532	0.03563636363636364	0.13595092450373494	0.806060606060606	0.06491829673266684	0.020914768956826153	0.13119932659932662	0.06420987915102497	18.923232323232323	0.37846464646464645	51.15167676767676	0.11025909938951017	0.36764445457437506	1367.0	495.0	0.42997319811662504	9.748328894170115	0.3085477676887759	0.02873033559343682
UserKNN_nn=100_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.1437169825632411	0.43107744107744106	0.03951515151515152	0.15699298563795994	0.8787878787878788	0.07204838142326231	0.024609307126591314	0.14535892255892255	0.08888991481519351	9.818181818181818	0.1963636363636364	91.63143434343434	0.27788905029772637	0.6869994689424153	1311.0	495.0	0.3407075267951759	9.375491972241038	0.34239204516621763	0.032612578830701594
EASER_neighborhood=1507_l2_norm=28754079$46612463	0.1172774216632185	0.3621548821548822	0.03321212121212121	0.12850204831175124	0.8404040404040404	0.06052757807665374	0.019903558156872846	0.12661481481481482	0.06541121004365295	2.103030303030303	0.04206060606060606	153.42258585858585	0.6476274524223927	0.9354713064461452	795.0	495.0	0.1223018498396986	7.9081757984646694	0.2595735193913881	0.026174078715585088
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	0.13527028029184557	0.41515151515151516	0.0376969696969697	0.14936217579222774	0.8767676767676768	0.06876678792059009	0.023453406046630064	0.14282558922558922	0.07707747701955736	8.529292929292929	0.17058585858585862	101.98254545454546	0.28410977100222223	0.7298480058962543	1168.0	495.0	0.2473972661542384	8.87207829576359	0.3205563316204135	0.030675358549997866
Random_seed=42	0.011324414169665517	0.033501683501683505	0.00298989898989899	0.013167176279102815	0.14747474747474748	0.0054574617372406585	0.002543215787283678	0.015925925925925927	0.010767704014507563	27.735353535353536	0.5547070707070708	32.34505050505051	0.07108461958926572	0.008521858750005063	1507.0	495.0	0.8625634297825528	10.514104554823929	0.028898486565273867	0.0026758427511230157
AttributeItemKNN_nn=40_sim=correlation_bin=False_load=ItemAttributes	0.13770603266652054	0.42956228956228953	0.039191919191919194	0.15129542168641416	0.8484848484848485	0.07148568187066376	0.022069866531593207	0.13965454545454548	0.07063673215962385	25.115151515151513	0.5023030303030304	43.83793939393939	0.12023588778234301	0.13227584558815708	1505.0	495.0	0.6584381933545282	10.283042103045812	0.34790519034182094	0.03166919811185781
ItemKNN_nn=100_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.15093092188245197	0.46966329966329967	0.043232323232323226	0.1649173937659647	0.8909090909090909	0.07880990682019842	0.023995587496671925	0.14970437710437712	0.07554820355394777	20.2989898989899	0.405979797979798	55.200767676767676	0.05845729424700588	0.31669247453834254	1494.0	495.0	0.5900934980616256	10.158707352795966	0.37421315160196245	0.03468433051282522
RP3beta_neighborhood=507_alpha=1$0180281935718316_beta=0$41875971052261285_normalize_similarity=True	0.15574148328881066	0.49158249158249157	0.04521212121212122	0.17209939852313985	0.9252525252525252	0.08240624864409883	0.025344259197332842	0.15854208754208754	0.0756048674166144	13.290909090909091	0.2658181818181818	87.05256565656566	0.21005057483600068	0.5687232596810119	1285.0	495.0	0.3462202368975278	9.404810960722969	0.3781526780925072	0.035855308370655106
MostPop	0.05093096698227361	0.14821548821548822	0.014383838383838384	0.05837868404742731	0.4727272727272727	0.02609743015879856	0.011976224937320167	0.06681885521885522	0.04153135365200134	0.0	0.0	228.1289292929293	1.0	1.0	61.0	495.0	0.033703676874991984	5.769034316392531	0.10435577450372349	0.011597639310442089
