model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	0.2490903583023418	0.2998688561786354	0.10436241610738256	0.2583023521488154	0.8708053691275168	0.13083513236860025	0.1587854321216091	0.20084394626878205	0.4626352046216206	3.672818791946309	0.07345637583892618	74.91865771812081	0.9460312450686444	0.8791680955065437	1414.0	596.0	0.23751540737533372	9.180065453046065	1.1651211153255658	0.10741343677033612
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	0.24720151357206843	0.29479296239337144	0.10275167785234901	0.25181287261286717	0.889261744966443	0.12848057407790314	0.15322503616238572	0.1939501680568005	0.4514770397829262	0.7197986577181208	0.014395973154362416	96.56197986577182	0.9917498914459402	0.9765843469062456	823.0	596.0	0.10798065959442849	8.079021952636394	1.1054795420708285	0.10159354164187555
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	0.2574184476638362	0.30785905425393184	0.1071476510067114	0.2667095002185312	0.87248322147651	0.13461672519193787	0.16240930799044598	0.20623117759000154	0.4751830795617804	1.766778523489933	0.035335570469798655	85.07704697986577	0.9705472019841884	0.9422962963296321	1182.0	596.0	0.1695236703471168	8.702871460228932	1.1844377500168406	0.109152124075027
AttributeUserKNN_nn=40_sim=cosine_profile=binary_bin=False_load=ItemAttributes	0.25509703306526366	0.30958855486977715	0.1076510067114094	0.26326865563839463	0.87248322147651	0.13531983256933014	0.1606573536832416	0.20436363800743984	0.4624824655394591	2.226510067114094	0.04453020134228188	83.49312080536913	0.9610416239491489	0.9271538754348102	1205.0	596.0	0.179523201270116	8.781469230771002	1.1779737082060573	0.10851955906707444
AttributeUserKNN_nn=80_sim=cosine_profile=binary_bin=False_load=ItemAttributes	0.2495282562286807	0.29944677246124307	0.10419463087248323	0.25527441019648256	0.8875838926174496	0.13043203208244322	0.15594463450237164	0.19779565495962179	0.45481413391084907	0.9630872483221476	0.019261744966442954	93.41691275167784	0.9918638261428112	0.9686410570208429	906.0	596.0	0.12217492963844989	8.249622820812307	1.1276866291393812	0.10369830058854097
AttributeUserKNN_nn=80_sim=correlation_profile=binary_bin=False_load=ItemAttributes	0.25290741621325613	0.3015481893027382	0.10483221476510068	0.2578276116791825	0.889261744966443	0.1311773307850714	0.15700608615946562	0.19849414106794386	0.46132958054124173	0.7734899328859061	0.015469798657718121	94.81030201342283	0.9939306819996806	0.9748326046287292	888.0	596.0	0.11563516634192139	8.175511818964106	1.1362101778074094	0.10451438056248151
AttributeUserKNN_nn=20_sim=cosine_profile=binary_bin=False_load=ItemAttributes	0.24399913399894066	0.2911071607657512	0.10315436241610738	0.25212067535976884	0.8590604026845637	0.12889332323265656	0.15568289853001724	0.19418886598407165	0.45234466569583637	4.065436241610739	0.08130872483221478	73.49573825503356	0.9335558734700365	0.8660498615199903	1430.0	596.0	0.2442927401313415	9.223795814927897	1.147038295019578	0.10571270650493687
AttributeUserKNN_nn=60_sim=cosine_profile=binary_bin=False_load=ItemAttributes	0.25062501779474416	0.3059033098164571	0.10573825503355705	0.25788278848522794	0.889261744966443	0.1326015009301395	0.15725326978042253	0.20081637787754536	0.45221327866708433	1.3473154362416107	0.026946308724832214	89.45536912751678	0.9899847135100942	0.9560662374519306	1037.0	596.0	0.1429881648264414	8.466463277647078	1.1439737223344995	0.10531865080977451
AttributeUserKNN_nn=60_sim=correlation_profile=binary_bin=False_load=ItemAttributes	0.2511722196163245	0.30528340287933364	0.10593959731543624	0.2583274339408514	0.8825503355704698	0.1327381921818083	0.15800570936364733	0.2012351894084197	0.4524513023211395	1.1140939597315436	0.022281879194630875	90.67459731543624	0.9860242736300111	0.9637033620671001	1012.0	596.0	0.13615916143465445	8.401096277037798	1.1480141555982084	0.10573269680225643
AttributeUserKNN_nn=100_sim=correlation_profile=binary_bin=False_load=ItemAttributes	0.24974710895426364	0.29733986403146195	0.1026510067114094	0.2540716275442047	0.8926174496644296	0.12852818135916966	0.15426154596565125	0.1956629760213276	0.4566056956139933	0.5134228187919463	0.010268456375838928	98.01030201342282	0.9979310720313607	0.983310976327814	776.0	596.0	0.10138222558995391	7.994851993540311	1.108111509838257	0.10184774272356002
