model	metric	value
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	nDCG	0.026496546158099606
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	Recall	0.01882569859421271
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	Precision	0.03322147651006711
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	nDCGRendle2020	0.03451121324790614
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	HR	0.24161073825503357
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	F1	0.019594912545021152
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	MAP	0.032469039629274526
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	MAR	0.010821618793060627
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	MRR	0.07751478108021732
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	ACLT	5.686241610738255
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	APLT	0.5686241610738255
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	ARP	20.928020134228184
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	PopREO	0.04700162074554298
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	PopRSP	0.033400219045373894
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	ItemCoverage	1477.0
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	UserCoverage	596.0
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	Gini	0.4259219167207906
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	SEntropy	10.010957110654063
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	EFD	0.33988054222092984
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	EPC	0.029872389479241587
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	nDCG	0.02866564941881639
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	Recall	0.017619641734090644
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	Precision	0.03758389261744966
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	nDCGRendle2020	0.03854669660465457
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	HR	0.2684563758389262
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	F1	0.019891638283908462
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	MAP	0.03635939330989666
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	MAR	0.010216441010594707
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	MRR	0.09004074784276125
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	ACLT	5.651006711409396
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	APLT	0.5651006711409395
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	ARP	22.00973154362416
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	PopREO	0.08469817501169863
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	PopRSP	0.026231305376124153
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	ItemCoverage	1396.0
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	UserCoverage	596.0
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	Gini	0.37463231579706935
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	SEntropy	9.817596910601688
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	EFD	0.3895620042857469
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	EPC	0.03417570166737757
