model	metric	value
output_EXP_2_elliot	nDCG	0.12519869783197776
output_EXP_2_elliot	Recall	0.14268399476437485
output_EXP_2_elliot	Precision	0.04463121783876501
output_EXP_2_elliot	nDCGRendle2020	0.12030239359586474
output_EXP_2_elliot	HR	0.6260720411663808
output_EXP_2_elliot	F1	0.05782926115213936
output_EXP_2_elliot	MAP	0.07365045018156363
output_EXP_2_elliot	MAR	0.09919819087092571
output_EXP_2_elliot	MRR	0.26290651284619393
output_EXP_2_elliot	ACLT	0.34133790737564323
output_EXP_2_elliot	APLT	0.011126972535502985
output_EXP_2_elliot	ARP	105.80876100639206
output_EXP_2_elliot	PopREO	1.0
output_EXP_2_elliot	PopRSP	0.9776225542899936
output_EXP_2_elliot	ItemCoverage	217.0
output_EXP_2_elliot	UserCoverage	561.0
output_EXP_2_elliot	Gini	0.025453650112653436
output_EXP_2_elliot	SEntropy	5.769168066184852
output_EXP_2_elliot	EFD	0.7034781643467679
output_EXP_2_elliot	EPC	0.06359772169438277
