model	metric	value
results_EXP_3_no_rerank	nDCG	0.1827150084806199
results_EXP_3_no_rerank	Recall	0.3302052884309731
results_EXP_3_no_rerank	Precision	0.09583892617449666
results_EXP_3_no_rerank	nDCGRendle2020	0.19853263097574406
results_EXP_3_no_rerank	HR	0.9194630872483222
results_EXP_3_no_rerank	F1	0.1274147565568122
results_EXP_3_no_rerank	MAP	0.09520328884847348
results_EXP_3_no_rerank	MAR	0.1689124086553848
results_EXP_3_no_rerank	MRR	0.21750746006142463
results_EXP_3_no_rerank	ACLT	7.290268456375839
results_EXP_3_no_rerank	APLT	0.1458053691275168
results_EXP_3_no_rerank	ARP	64.85724832214765
results_EXP_3_no_rerank	PopREO	0.7175391428119564
results_EXP_3_no_rerank	PopRSP	0.7567863268505735
results_EXP_3_no_rerank	ItemCoverage	1533.0
results_EXP_3_no_rerank	UserCoverage	596.0
results_EXP_3_no_rerank	Gini	0.3165052680955477
results_EXP_3_no_rerank	SEntropy	9.570154619106374
results_EXP_3_no_rerank	EFD	0.8806498832083783
results_EXP_3_no_rerank	EPC	0.08086622208949318
