model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
ItemKNN_nn=40_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.20687821936642112	0.4080293853098229	0.13429530201342282	0.22362792634940507	0.9412751677852349	0.17147199386809983	0.0913669239395033	0.1382442591945229	0.18553323947653372	3.4379194630872485	0.06875838926174496	80.03228187919464	0.8555819477434681	0.8869977556145855	1465.0	596.0	0.19715591397849497	8.881211250732362	1.0908733550719962	0.1011752776534912
output_EXP_1_elliot	0.1459139053248765	0.14961227239807584	0.038491228070175444	0.13654601723156629	0.5526315789473685	0.053484233355070854	0.07873504607277473	0.11107132349776244	0.3146630039287774	2.068421052631579	0.07131298205830988	81.30042373639913	0.9588190716117003	0.833649251611146	472.0	532.0	0.04959750657872919	6.4319647917318905	0.8462988954378329	0.07694825472411053
EASER_neighborhood=1861_l2_norm=18374136$168271586	0.15585557990388646	0.2955105378493335	0.10030201342281879	0.16746581380877662	0.9026845637583892	0.125867096085405	0.07152258352149936	0.10941041459321507	0.1564206197469547	0.0	0.0	119.91523489932888	1.0	1.0	188.0	596.0	0.04164931081763701	6.669313809409652	0.7782911676452898	0.07310171983810451
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	0.16004140005147163	0.30785905425393184	0.1071476510067114	0.17255442148870145	0.87248322147651	0.13461672519193787	0.07134775506185728	0.10769858177159333	0.14266846449010653	1.766778523489933	0.035335570469798655	85.07704697986577	0.9705472019841884	0.9422962963296321	1182.0	596.0	0.1695236703471168	8.702871460228936	0.8400272390894835	0.07831129242588859
UserKNN_nn=80_sim=correlation_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.2053724944544	0.40999829086650835	0.13258389261744968	0.22218205277828582	0.9362416107382551	0.17019500477206517	0.08691816388746548	0.13984109142429474	0.17790478400345838	1.360738255033557	0.02721476510067114	85.2270134228188	0.9526892430278884	0.955626278925468	1066.0	596.0	0.15762066103774264	8.614433822936713	1.0560576962942543	0.09832530503435544
AttributeItemKNN_nn=20_sim=correlation_bin=False_load=ItemAttributes	0.044925900020502396	0.07739904470612648	0.02939597315436242	0.0508949265508993	0.5922818791946308	0.03512896386492509	0.027827922593359877	0.03643766943989721	0.08355439879955091	27.61744966442953	0.5523489932885907	21.962818791946308	0.06576402321083163	0.00037574270351627695	1840.0	596.0	0.5798090495778307	10.432734358059928	0.3030388465926695	0.026623993100646386
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	0.02413426066638504	0.040432503240276925	0.018221476510067114	0.028718411252368275	0.43288590604026844	0.020651252610108955	0.017412762284090395	0.01997590677782355	0.05271929178917184	21.171140939597315	0.42342281879194626	24.83302013422819	0.1544502617801047	0.2534313749774758	981.0	596.0	0.13899639171537848	8.415374766160307	0.1834161650222672	0.016266863757653512
Random_seed=42	0.017969164292338906	0.029860493114473793	0.012785234899328861	0.02064812445253942	0.35570469798657717	0.014652380588022599	0.011833208153871228	0.015610458311472146	0.03938425578466892	27.456375838926174	0.5491275167785235	21.35765100671141	0.027959547888161837	0.009552555423765197	1861.0	596.0	0.8568295085516344	10.814377394884373	0.12730829993152734	0.011267936975687839
RP3beta_neighborhood=507_alpha=1$0180281935718316_beta=0$41875971052261285_normalize_similarity=True	0.21172062217660392	0.42454680255722693	0.13439597315436244	0.22950965905731718	0.9446308724832215	0.17370898798772327	0.08942503402501199	0.14692658170873268	0.18486120228338676	1.6812080536912752	0.0336241610738255	86.12852348993289	0.9036580948931546	0.9451089312396465	1003.0	596.0	0.14294547881936925	8.47716755047636	1.0804057698884861	0.10030776161168206
MostPop	0.1258696461755237	0.22985354833938343	0.08151006711409396	0.1341185154497723	0.8573825503355704	0.10036343958944034	0.06079410811730399	0.09070176187564995	0.13743563231052172	0.0	0.0	125.2706375838926	1.0	1.0	119.0	596.0	0.03462387241105591	6.28809881733674	0.6248130659620208	0.05847667341253254
